"count","highway"
4027981,
29,"unclassified"
1,"primary"
1108,"footway"
44,"track"
2,"motorway"
1,"proposed"
3,"layby"
92,"bus_stop"
1,"tertiary"
10,"raceway"
55,"steps"
2195,"pedestrian"
5,"bridleway"
1,"pathless"
9,"traffic_island"
232,"platform"
48,"services"
665,"elevator"
655,"service"
4,"cycleway"
63,"living_street"
174,"path"
321,"residential"
1,"turning_circle"
7,"island"
16,"no"
1,"yard_area"
1,"road"
61,"rest_area"
8,"construction"
