Level 2 Short;Level 2;Level 1 Short;Level 1;Original;Origin
;;GWB;Gewerbe;Gewerbe- und Industriegebiet großflächiger Einzelhandel geringe Bebauung;Berlin
;;MSH;Misch;Mischbebauung halboffener und offener Schuppenhof 2-4-geschossig;Berlin
;;FDH;Friedhof;Friedhof;Berlin
BLD;Bildung;SND;Sonder;Hochschule und Forschung;Berlin
BLD;Bildung;SND;Sonder;Altbau-Schule (vor 1945);Berlin
IFS;Infrastruktur;GMB;Gemeinbedarf;Sicherheit und Ordnung;Berlin
;;VES;Versorgung;Flächen der Ver- und Entsorgung;Berlin
BLD;Bildung;GMB;Gemeinbedarf;Kindertagesstätte;Berlin
;;MSH;Misch;Heterogene innerstädtische Mischbebauung Lückenschluss nach 1945;Berlin
;;MSH;Misch;Mischgebiet ohne Wohngebietscharakter dichte Bebauung;Berlin
;;WSR;Wasser;Gewässer;Berlin
;;BHN;Bahn;Gleiskörper;Berlin
;;WHN;Wohnen;Blockrandbebauung mit Großhöfen (1920er-1940er) 3–5-geschossig;Berlin
;;WHN;Wohnen;Freie Zeilenbebauung (1950er-1970er) mit landschaftlichem Siedlungsgrün 3–6-geschossig;Berlin
SPT;Sport;FRZ;Freizeit;Sportanlage ungedeckt;Berlin
BLD;Bildung;GMB;Gemeinbedarf;Neubau-Schule (nach 1945);Berlin
;;GMB;Gemeinbedarf;Sonstige Gemeinbedarfs- und Sondergebiete;Berlin
RLG;Religion;GMB;Gemeinbedarf;Kirche;Berlin
;;WHN;Wohnen;Geschlossene und halboffene Blockbebauung Schmuck- und Gartenhof (1870er-1918) 4-geschossig;Berlin
;;WHN;Wohnen;Dichte Blockbebauung geschlossener Hinterhof (1870er-1918) 5-6-geschossig;Berlin
;;BHN;Bahn;Bahnhof und Bahnanlage ohne Gleiskörper;Berlin
;;WHN;Wohnen;Parallele Zeilenbebauung mit architektonischem Zeilengrün (1920er bis 1930er) 3 – 5-geschossig;Berlin
PRK;Parken;VRK;Verkehr;Parkplatz;Berlin
BLD;Bildung;GMB;Gemeinbedarf;Sonstige Jugendeinrichtungen;Berlin
;;MSH;Misch;Mischgebiet ohne Wohngebietscharakter geringe Bebauung;Berlin
;;WHN;Wohnen;Kleingartenanlage allgemein;Berlin
;Wald;GRF;Grünfläche;Wald;Berlin
SPT;Sport;FRZ;Freizeit;Sportanlage gedeckt;Berlin
