Level2Short;Level2;Level1Short;Level1;Original;Origin;Subtype1;Subtype2
;;GRF;Grünfläche;Grünflächen;Hamburg;;
;;GMB;Gemeinbedarf;Flächen für den Gemeinbedarf;Hamburg;;
WLD;Wald;GRF;Grünfläche;Wald;Hamburg;;
;;GWB;Gewerbe;Gewerbliche Bauflächen*;Hamburg;;
;;VES;Versorgung;Flächen für Versorgungsanlagen oder die Verwertung oder Beseitugung von Abwasser und festen Abfallstoffen*;Hamburg;;
;;WHN;Wohnen;Wohnbauflächen;Hamburg;;
;;BHN;Bahn;Flächen für Bahnanlagen*;Hamburg;;
BAU;Bau;MSH;Misch;Gemischte Bauflächen deren Charakter als Dienstleistungszentren für die Wohnbevölkerung und für die Wirtschaft durch besondere Festsetzungen gesichert werden soll;Hamburg;;
BAU;Bau;MSH;Misch;Gemischte Bauflächen;Hamburg;;
;;GMB;Gemeinbedarf;Flächen für Gemeinbedarf geringfügig bebaut;Hamburg;;
;;FDH;Friedhof;Grünflächen (Friedhof);Hamburg;;
STR;Strassen;VRK;Verkehr;Sonstige Hauptverkehrstraßen*;Hamburg;;
;;SND;Sonder;Sonderbauflächen;Hamburg;;
BRH;Brache;FRF;Freifläche;Fläche für Aufschüttungen;Hamburg;;
STR;Strassen;VRK;Verkehr;Verkehrfläche/Autobahnen oder autobahnähnliche Straßen*;Hamburg;;
;;WHN;Wohnen;Wohnbauflächen deren parkartiger Charakter durch besondere Festsetzungen gesichert werden soll;Hamburg;;
;;LVK;Luftverkehr;In Aussicht genommene Umgrenzung der Flächen für den Luftverkehr;Hamburg;;
DRF;Dorf;WHN;Wohnen;Dorfgebiete;Hamburg;;
;;GRF;Grünfläche;Grünflächen ;Hamburg;;
;;LVK;Luftverkehr;Flächen für den Luftverkehr;Hamburg;;
;;BAU;Bau;Baufla_chen;Munich;;
;;WHN;Wohnen;Wohnbaufla_chen;Munich;;
;;WHN;Wohnen;Kleinsiedlungsgebiete;Munich;;
;;WHN;Wohnen;Reine Wohngebiete;Munich;;
;;WHN;Wohnen;Allgemeine Wohngebiete;Munich;;
;;WHN;Wohnen;Besondere Wohngebiete;Munich;;
;;MSH;Misch;Gemischte Baufla_chen;Munich;;
DRF;Dorf;WHN;Wohnen;Dorfgebiete;Munich;;
;;MSH;Misch;Mischgebiete;Munich;;
;;KRN;Kern;Kerngebiete;Munich;;
;;GWB;Gewerbe;Gewerbliche Baufla_chen;Munich;;
;;GWB;Gewerbe;Gewerbegebiete;Munich;;
;;IND;Industrie;Industriegebiete;Munich;;
;;GMB;Gemeinbedarf;Gemeinbedarfsfla_chen;Munich;;
BLD;Bildung;GMB;Gemeinbedarf;Gemeinbedarfsfla_chen Erziehung;Munich;;
;;GMB;Gemeinbedarf;Gemeinbedarfsflachen Fursorge;Munich;;
GSD;Gesundheit;GMB;Gemeinbedarf;Gemeinbedarfsfla_chen Gesundheit;Munich;;
KLT;Kultur;FRZ;Freizeit;Gemeinbedarfsfla_chen Kultur;Munich;;
;Religion;GMB;Gemeinbedarf;Gemeinbedarfsfla_chen Religion;Munich;;
SPT;Sport;FRZ;Freizeit;Gemeinbedarfsfla_chen Sport;Munich;;
;;GMB;Gemeinbedarf;Gemeinbedarfsfla_chen Sicherheit;Munich;;
;;GMB;Gemeinbedarf;Gemeinbedarfsfla_chen Verwaltung;Munich;;
;;GMB;Gemeinbedarf;Gemeinbedarfsfla_chen Wissenschaft;Munich;;
;;VES;Versorgung;Ver- und Entsorgungsfla_chen;Munich;;
;;SND;Sonder;Sondergebiete;Munich;;
;;IND;Industrie;Sondergebiete Brauereiverlagerung;Munich;;
SHP;Shopping;GWB;Gewerbe;Sondergebiete Einzelhandel;Munich;;
;;IND;Industrie;Sondergebiete Forschung;Munich;;
SHP;Shopping;GWB;Gewerbe;Sondergebiete Fachmarkt;Munich;;
;;GWB;Gewerbe;Sondergebiete Gewerblicher Gemeinbedarf;Munich;;
;;GWB;Gewerbe;Sondergebiete Großhandel;Munich;;
;;IND;Industrie;Sondergebiete Industrieller Gemeinbedarf;Munich;;
BLD;Bildung;GMB;Gemeinbedarf;Sondergebiete Hochschule;Munich;;
;Militär;MLT;Militär;Sondergebiete Landesverteidigung;Munich;;
MSS;Messe;GWB;Gewerbe;Sondergebiete Messe;Munich;;
;;VRK;Verkehr;Verkehrsfla_chen;Munich;;
;;VRK;Verkehr;Uberortliche Hauptverkehrsstraﬂen;Munich;;
;;VRK;Verkehr;O_rtliche Hauptverkehrsstraßen, die auch dem Durchgangsverkehr dienen;Munich;;
;;VRK;Verkehr;Offentliche Parkplatze;Munich;;
FSG;Fußgänger;GMB;Gemeinbedarf;Fuﬂgangerbereiche;Munich;;
FSG;Fußgänger;GMB;Gemeinbedarf;Fuﬂgangerbereiche begrunt;Munich;;
;;BHN;Bahn;Bahnanlagen;Munich;;
;;GRF;Grünfläche;Grunflachen;Munich;;
;;GRF;Grünfläche;Allgemeine Grunflachen;Munich;;
;;GRF;Grünfläche;Grunflachen mit besonderer Zweckbestimmung;Munich;;
ODR;Outdoor;FRZ;Freizeit;Campingpla_tze;Munich;;
;;FDH;Friedhof;Friedho_fe;Munich;;
;;FRZ;Freizeit;Intensiv nutzbarer Bereich fu_r Jugendliche;Munich;;
;;FRZ;Freizeit;Kleinga_rten;Munich;;
;;GRF;Grünfläche;Sondergrunflachen (z.B. Olympiapark);Munich;;
SPT;Sport;FRZ;Freizeit;Sportanlagen;Munich;;
;;LWT;Landwirtschaft;Okologische Vorrangflachen;Munich;;
;;FRF;Freifläche;Sonstige Freifla_chen;Munich;;
WLD;Wald;GRF;Grünfläche;Waldfla_chen;Munich;;
;;LWT;Landwirtschaft;Flachen fur die Landwirtschaft;Munich;;
;;FRZ;Freizeit;Flachen fur den Gartenbau;Munich;;
;;IND;Industrie;Vorrangflache fur Kiesabbau;Munich;;
;;WSR;Wasser;Wasserfla_chen;Munich;;
;;FRF;Freifläche;U_berschwemmungsgebiete;Munich;;
;;GRF;Grünfläche;Sonstige Grunflachen (z.B. Abstandsgrun, Verkehrsbegleitgrun);Munich;;
;;LWT;Landwirtschaft;Grünfläche mit tw. landwirtschftl. Nutzung;Cologne;;
;;GMB;Gemeinbedarf;Gemeinbedarfsfläche;Cologne;;
;;WHN;Wohnen;Wohnbaufläche;Cologne;;
;;GWB;Gewerbe;Gewerbefläche;Cologne;;
;;WSR;Wasser;Wasserfläche;Cologne;;
;;MSH;Misch;Mischfläche;Cologne;;
