"count","city","type","type1","type2"
29,"Berlin","Brachfläche, wiesenartiger Vegetationsbestand","Flughafen","Verkehrsflächen"
29,"Berlin","Brachfläche, wiesenartiger Vegetationsbestand","Gewerbe- und Industriegebiet, großflächiger Einzelhandel, geringe Bebauung","Gewerbe- und Industrienutzung, großflächiger Einzelhandel"
28,"Berlin",,"Großsiedlungen und Punkthochhäuser (1960er-1980er), 4–11-geschossig","Mischnutzung"
27,"Berlin",,"Verdichtung in Einzelhausgebieten, Mischbebauung mit Gärten und halbprivater Umgrünung (1870er bis heute)","Mischnutzung"
27,"Berlin","Park / Grünfläche","Kirche","Gemeinbedarfs- und Sondernutzungen"
26,"Berlin",,"Mischbebauung, halboffener und offener Schuppenhof, 2-4-geschossig","Mischnutzung"
25,"Berlin",,"Dörfliche Mischbebauung","Mischnutzung"
23,"Berlin",,"Heterogene, innerstädtische Mischbebauung, Lückenschluss nach 1945","Mischnutzung"
22,"Berlin","Stadtplatz / Promenade","Gleiskörper","Verkehrsflächen"
22,"Berlin",,"Mischgebiet ohne Wohngebietscharakter, dichte Bebauung","Mischnutzung"
21,"Berlin",,"Dichte Blockbebauung, geschlossener Hinterhof (1870er-1918), 5-6-geschossig","Mischnutzung"
21,"Berlin",,"Freie Zeilenbebauung (1950er-1970er), mit landschaftlichem Siedlungsgrün, 3–6-geschossig","Mischnutzung"
16,"Berlin","Park / Grünfläche","Sonstige Gemeinbedarfs- und Sondergebiete","Gemeinbedarfs- und Sondernutzungen"
15,"Berlin","Brachfläche, vegetationsfrei","Gewerbe- und Industriegebiet, großflächiger Einzelhandel, geringe Bebauung","Gewerbe- und Industrienutzung, großflächiger Einzelhandel"
13,"Berlin",,"Geschosswohnungsbau der 1990er Jahre und jünger (1990er bis heute)","Mischnutzung"
13,"Berlin","Wälder und Forsten","Bahnhof und Bahnanlage ohne Gleiskörper","Verkehrsflächen"
13,"Berlin",,"Campingplatz","Gemeinbedarfs- und Sondernutzungen"
12,"Berlin",,"Parallele Zeilenbebauung mit architektonischem Zeilengrün (1920er bis 1930er), 3 – 5-geschossig","Mischnutzung"
10,"Berlin","Wälder und Forsten","Gleiskörper","Verkehrsflächen"
10,"Berlin","Park / Grünfläche","Kindertagesstätte","Gemeinbedarfs- und Sondernutzungen"
9,"Berlin","Brachfläche, Mischbestand aus Wiesen, Gebüsch und Bäumen","Flächen der Ver- und Entsorgung","Ver- und Entsorgungseinrichtungen"
9,"Berlin","Park / Grünfläche","Sonstige Jugendeinrichtungen","Gemeinbedarfs- und Sondernutzungen"
9,"Berlin","Park / Grünfläche","Parkplatz","Verkehrsflächen"
9,"Berlin","Park / Grünfläche","Kultur","Gemeinbedarfs- und Sondernutzungen"
9,"Berlin",,"Blockrandbebauung mit Großhöfen (1920er-1940er), 3–5-geschossig","Mischnutzung"
8,"Berlin","Wälder und Forsten","Sonstige Jugendeinrichtungen","Gemeinbedarfs- und Sondernutzungen"
8,"Berlin","Brachfläche, wiesenartiger Vegetationsbestand","sonstige Verkehrsflächen (z.B. Verkehrsinseln etc.)","Verkehrsflächen"
8,"Berlin","Stadtplatz / Promenade","Bahnhof und Bahnanlage ohne Gleiskörper","Verkehrsflächen"
7,"Berlin","Wälder und Forsten","Gewerbe- und Industriegebiet, großflächiger Einzelhandel, geringe Bebauung","Gewerbe- und Industrienutzung, großflächiger Einzelhandel"
7,"Berlin","Stadtplatz / Promenade","Kirche","Gemeinbedarfs- und Sondernutzungen"
7,"Berlin","Brachfläche, wiesenartiger Vegetationsbestand","Gleiskörper","Verkehrsflächen"
7,"Berlin","Wälder und Forsten","Sonstige Gemeinbedarfs- und Sondergebiete","Gemeinbedarfs- und Sondernutzungen"
7,"Berlin","Wälder und Forsten","Krankenhaus","Gemeinbedarfs- und Sondernutzungen"
6,"Berlin","Wälder und Forsten","sonstige Verkehrsflächen (z.B. Verkehrsinseln etc.)","Verkehrsflächen"
6,"Berlin",,"Flughafen","Verkehrsflächen"
6,"Berlin","Wälder und Forsten","Campingplatz","Gemeinbedarfs- und Sondernutzungen"
6,"Berlin","Kleingarten","Bahnhof und Bahnanlage ohne Gleiskörper","Verkehrsflächen"
6,"Berlin","Brachfläche, wiesenartiger Vegetationsbestand","Sonstige Gemeinbedarfs- und Sondergebiete","Gemeinbedarfs- und Sondernutzungen"
5,"Berlin","Brachfläche, Mischbestand aus Wiesen, Gebüsch und Bäumen","Sicherheit und Ordnung","Gemeinbedarfs- und Sondernutzungen"
5,"Berlin","Brachfläche, vegetationsfrei","Bahnhof und Bahnanlage ohne Gleiskörper","Verkehrsflächen"
5,"Berlin","Kleingarten","Gleiskörper","Verkehrsflächen"
5,"Berlin","Brachfläche, wiesenartiger Vegetationsbestand","Bahnhof und Bahnanlage ohne Gleiskörper","Verkehrsflächen"
5,"Berlin","Wälder und Forsten","Flächen der Ver- und Entsorgung","Ver- und Entsorgungseinrichtungen"
5,"Berlin","Brachfläche, wiesenartiger Vegetationsbestand","Parkplatz","Verkehrsflächen"
5,"Berlin","Brachfläche, wiesenartiger Vegetationsbestand","Mischgebiet ohne Wohngebietscharakter, geringe Bebauung","Mischnutzung"
5,"Berlin","Park / Grünfläche","Verwaltung","Gemeinbedarfs- und Sondernutzungen"
5,"Berlin","Park / Grünfläche","Neubau-Schule (nach 1945)","Gemeinbedarfs- und Sondernutzungen"
4,"Berlin","Park / Grünfläche","Hochschule und Forschung","Gemeinbedarfs- und Sondernutzungen"
4,"Berlin","Brachfläche, Mischbestand aus Wiesen, Gebüsch und Bäumen","Parkplatz","Verkehrsflächen"
4,"Berlin","Wälder und Forsten","Verwaltung","Gemeinbedarfs- und Sondernutzungen"
4,"Berlin","Wälder und Forsten","Sicherheit und Ordnung","Gemeinbedarfs- und Sondernutzungen"
4,"Berlin","Brachfläche, Mischbestand aus Wiesen, Gebüsch und Bäumen","Mischgebiet ohne Wohngebietscharakter, geringe Bebauung","Mischnutzung"
4,"Berlin","Brachfläche, Mischbestand aus Wiesen, Gebüsch und Bäumen","Flughafen","Verkehrsflächen"
4,"Berlin","Stadtplatz / Promenade","Parkplatz","Verkehrsflächen"
3,"Berlin","Baumschule / Gartenbau","Sonstige Gemeinbedarfs- und Sondergebiete","Gemeinbedarfs- und Sondernutzungen"
3,"Berlin","Brachfläche, Mischbestand aus Wiesen, Gebüsch und Bäumen","Sonstige Gemeinbedarfs- und Sondergebiete","Gemeinbedarfs- und Sondernutzungen"
3,"Berlin","Park / Grünfläche","Krankenhaus","Gemeinbedarfs- und Sondernutzungen"
3,"Berlin","Brachfläche, wiesenartiger Vegetationsbestand","Sonstige Jugendeinrichtungen","Gemeinbedarfs- und Sondernutzungen"
3,"Berlin","Park / Grünfläche","Sicherheit und Ordnung","Gemeinbedarfs- und Sondernutzungen"
3,"Berlin","Brachfläche, vegetationsfrei","Flächen der Ver- und Entsorgung","Ver- und Entsorgungseinrichtungen"
3,"Berlin","Stadtplatz / Promenade","Kultur","Gemeinbedarfs- und Sondernutzungen"
2,"Berlin","Brachfläche, wiesenartiger Vegetationsbestand","Sicherheit und Ordnung","Gemeinbedarfs- und Sondernutzungen"
2,"Berlin","Wälder und Forsten","Parkplatz","Verkehrsflächen"
2,"Berlin","Brachfläche, wiesenartiger Vegetationsbestand","Flächen der Ver- und Entsorgung","Ver- und Entsorgungseinrichtungen"
2,"Berlin","Grünland","Hochschule und Forschung","Gemeinbedarfs- und Sondernutzungen"
2,"Berlin","Brachfläche, vegetationsfrei","Mischgebiet ohne Wohngebietscharakter, geringe Bebauung","Mischnutzung"
2,"Berlin","Brachfläche, Mischbestand aus Wiesen, Gebüsch und Bäumen","Dörfliche Mischbebauung","Mischnutzung"
2,"Berlin","Brachfläche, Mischbestand aus Wiesen, Gebüsch und Bäumen","Verwaltung","Gemeinbedarfs- und Sondernutzungen"
2,"Berlin","Friedhof","Kirche","Gemeinbedarfs- und Sondernutzungen"
2,"Berlin","Park / Grünfläche","Altbau-Schule (vor 1945)","Gemeinbedarfs- und Sondernutzungen"
2,"Berlin","Ackerland","Hochschule und Forschung","Gemeinbedarfs- und Sondernutzungen"
2,"Berlin","Ackerland","Kultur","Gemeinbedarfs- und Sondernutzungen"
2,"Berlin","Baumschule / Gartenbau","Hochschule und Forschung","Gemeinbedarfs- und Sondernutzungen"
1,"Berlin","Brachfläche, wiesenartiger Vegetationsbestand","Kindertagesstätte","Gemeinbedarfs- und Sondernutzungen"
1,"Berlin","Brachfläche, wiesenartiger Vegetationsbestand","Verwaltung","Gemeinbedarfs- und Sondernutzungen"
1,"Berlin","Wälder und Forsten","Neubau-Schule (nach 1945)","Gemeinbedarfs- und Sondernutzungen"
1,"Berlin",,"Großsiedlungen und Punkthochhäuser (1960er-1980er), 4–11-geschossig","Kerngebietsnutzungen"
1,"Berlin","Wälder und Forsten","Kindertagesstätte","Gemeinbedarfs- und Sondernutzungen"
1,"Berlin","Brachfläche, Mischbestand aus Wiesen, Gebüsch und Bäumen","Kultur","Gemeinbedarfs- und Sondernutzungen"
1,"Berlin","Brachfläche, wiesenartiger Vegetationsbestand","Krankenhaus","Gemeinbedarfs- und Sondernutzungen"
1,"Berlin","Stadtplatz / Promenade","Hochschule und Forschung","Gemeinbedarfs- und Sondernutzungen"
1,"Berlin","Wälder und Forsten","Hochschule und Forschung","Gemeinbedarfs- und Sondernutzungen"
1,"Berlin","Brachfläche, Mischbestand aus Wiesen, Gebüsch und Bäumen","Neubau-Schule (nach 1945)","Gemeinbedarfs- und Sondernutzungen"
1,"Berlin","Wälder und Forsten","Flughafen","Verkehrsflächen"
1,"Berlin",,"Großsiedlungen und Punkthochhäuser (1960er-1980er), 4–11-geschossig","Gewerbe- und Industrienutzung, großflächiger Einzelhandel"
1,"Berlin","Brachfläche, vegetationsfrei","Parkplatz","Verkehrsflächen"
1,"Berlin","Stadtplatz / Promenade","Sonstige Gemeinbedarfs- und Sondergebiete","Gemeinbedarfs- und Sondernutzungen"
1,"Berlin",,"Reihen- und Doppelhäuser mit Garten","Mischnutzung"
1,"Berlin","Wälder und Forsten","Dörfliche Mischbebauung","Mischnutzung"
1,"Berlin","Brachfläche, vegetationsfrei","Kindertagesstätte","Gemeinbedarfs- und Sondernutzungen"
1,"Berlin","Brachfläche, wiesenartiger Vegetationsbestand","Kultur","Gemeinbedarfs- und Sondernutzungen"
1,"Berlin","Brachfläche, vegetationsfrei","sonstige Verkehrsflächen (z.B. Verkehrsinseln etc.)","Verkehrsflächen"
1,"Berlin","Wälder und Forsten","Kultur","Gemeinbedarfs- und Sondernutzungen"
1,"Berlin","Grünland","Sicherheit und Ordnung","Gemeinbedarfs- und Sondernutzungen"
1,"Berlin","Brachfläche, wiesenartiger Vegetationsbestand","Neubau-Schule (nach 1945)","Gemeinbedarfs- und Sondernutzungen"
1,"Berlin","Brachfläche, Mischbestand aus Wiesen, Gebüsch und Bäumen","Altbau-Schule (vor 1945)","Gemeinbedarfs- und Sondernutzungen"
1,"Berlin","Wälder und Forsten","Mischgebiet ohne Wohngebietscharakter, geringe Bebauung","Mischnutzung"
