"Statistische Daten zu den Stadtteilen Hamburgs, © Statistikamt Nord ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Stadtgebiet","Bevölkerung und Haushalte 31.12.2013","","","","","","","","","","","","","","","","","","","","","Bevölkerungsbewegung 2013","","","","","","","Sozialstruktur","","","","","","","","","","","","","","","Wohnen","","","","","","","","","","","","","","Infrastruktur und Verkehr","","","","","","","","","",""
"","Bevölkerung","Unter 18-Jährige","Anteil der unter 18-Jährigen in %"," 65-Jährige und Ältere","Anteil der 65-Jährigen und Älteren in %","Ausländerinnen und Ausländer","Ausländeranteil in %","Bevölkerung mit Migrations-hintergrund","Anteil der Bevölkerung mit Migrations-hintergrund in %","Unter 18-Jährige mit Migrations-hintergrund","Anteil der unter 18-Jährigen mit Migrations-hintergrund in %","Haushalte","Personen je Haushalt","Einpersonen-haushalte","Anteil der Einpersonen-haushalte in %","Haushalte mit Kindern","Anteil der Haushalte mit Kindern in %","Alleinerziehende","Anteil der Haushalte von Alleinerziehenden in %","Fläche in km²","Bevölkerungs-dichte","Geburten","Sterbefälle","Zuzüge","Zuzüge aus dem Hamburger Umland","Fortzüge","Fortzüge in das Hamburger Umland","Wanderungssaldo","Sozial-versicherungs-pflichtig Beschäftigte (Dez 2013)","Beschäftigten-quote in % (Dez 2013)","Arbeitslose (Dez 2013)","Arbeitslosenanteil in % (Dez 2013)","Jüngere Arbeitslose (Dez 2013)","Arbeitslosenanteil Jüngerer in % (Dez 2013)","Ältere Arbeitslose (Dez 2013)","Arbeitslosenanteil Älterer in % (Dez 2013)","Leistungs-empfänger/-innen nach SGB II (Dez 2013)","Anteil der Leistungs-empfänger/-innen nach SGB II in % (Dez 2013)","Unter 15-Jährige in Mindestsicherung (Dez 2013)","Anteil der unter 15-Jährigen in Mindestsicherung in % (Dez 2013)","Bedarfs-gemeinschaften nach SGB II (Dez 2013)","Lohn- und Einkommen-steuerpflichtige (2010)","Durchschnitt-liches Einkommen je Steuerpflichtigen in EUR (2010)","Wohngebäude (2013)","Wohnungen (2013)","Bezugsfertige Wohnungen (2013)","Wohnungen in Ein- und Zweifamilien-häusern (2013)","Anteil der Wohnungen in Ein- und Zweifamilien-häusern in % (2013)","Wohnungsgröße in m² (2013)","Wohnfläche je Einwohner/-in in m² (2013)","Sozialwohnungen (Jan 2014)","Sozialwohnungs-anteil in % (Jan 2014)","Sozialwohnungen mit Bindungsauslauf bis 2019","Sozialwohnungen mit Bindungsauslauf bis 2019 in %","Preise für Grundstücke in EUR/m² (Jan 2014)","Preise für Ein- bzw Zwei-familienhäuser in EUR/m² (Jan 2014)","Preise für Eigentums-wohnungen in EUR/m² (Jan 2014)","Kindergärten und Vorschulklassen (März 2014)","Grundschulen (2013/2014)","Schülerinnen und Schüler der Sekundarstufe I (2013/2014)","Anteil der Schülerinnen und Schüler in Stadtteilschulen und Schulformen mit mehreren Bildungsgängen in % (2013/2014)","Anteil der Schülerinnen und Schüler in Gymnasien in % (2013/2014)","Niedergelassene Ärzte (Dez 2013)","Allgemeinärzte (Dez 2013)","Zahnärzte (Nov 2013)","Apotheken (Nov 2013)","Private PKW (Jan 2014)","PKW-Dichte (Jan 2014)"
"Billstedt","69570.0","13398.0","19.3","12276.0","17.6","16153.0","23.2","36713.0","52.7","9609.0","71.9","34448.0","2.0","15626.0","45.4","7767.0","22.5","2423.0","31.2","16.841","4131.0","760.0","655.0","6094.0","515.0","5870.0","896.0","224.0","22496.0","48.6","4427.0","9.6","396.0","4.6","655.0","7.6","15417.0","22.2","4830.0","43.7","7461.0","29057.0","21705.0","7726.0","31220.0","75.0","6032.0","19.3","71.8962203716","32.2639068564","9219.0","29.5","2047.0","22.2","278.0","2165.0","1793.0","24.0","9.0","4559.0","67.1","27.3","92.0","43.0","35.0","11.0","21049.0","302.558574098"
"Billbrook","1398.0","367.0","26.3","116.0","8.3","900.0","64.4","1002.0","71.3","349.0","94.6","610.0","2.0","360.0","59.0","129.0","21.1","35.0","27.1","6.124","228.0","26.0","4.0","446.0","7.0","581.0","20.0","-135.0","318.0","32.4","129.0","13.2","7.0","3.5","16.0","12.7","372.0","26.6","100.0","33.1","219.0","382.0","25240.0","82.0","283.0","1.0","71.0","25.1","65.5123674912","13.2618025751","0.0","0.0","0.0","0.0","178.0",".",".","1.0","0.0","130.0","73.8","8.5","0.0","0.0","0.0","0.0","222.0","158.798283262"
"Rothenburgsort","8992.0","1496.0","16.6","1323.0","14.7","2353.0","26.2","4628.0","51.4","1149.0","76.8","5145.0","1.8","3001.0","58.3","874.0","17.0","287.0","32.8","7.369","1220.0","96.0","98.0","1259.0","93.0","1128.0","136.0","131.0","3134.0","48.9","647.0","10.1","47.0","4.2","79.0","8.4","1927.0","21.4","594.0","47.2","996.0","3830.0","18976.0","516.0","4521.0","56.0","134.0","3.0","60.6476443265","30.4924377224","848.0","18.8","295.0","34.8","219.0",".","2921.0","4.0","1.0","415.0","73.0","19.3","5.0","5.0","5.0","2.0","2211.0","245.885231317"
"Veddel","4709.0","995.0","21.1","376.0","8.0","2115.0","44.9","3323.0","70.4","918.0","92.8","2529.0","1.9","1484.0","58.7","526.0","20.8","141.0","26.8","4.365","1079.0","59.0","17.0","615.0","47.0","828.0","49.0","-213.0","1500.0","43.1","353.0","10.1","33.0","4.4","31.0","8.8","1230.0","26.1","396.0","46.6","565.0","1910.0","14633.0","210.0","2040.0","0.0","14.0","0.7","60.9637254902","26.4102781907","414.0","20.3","0.0","0.0","157.0",".",".","2.0","1.0","340.0","71.5","25.0","1.0","1.0","3.0","1.0","753.0","159.906561903"
"Wilhelmsburg","52372.0","10943.0","20.9","7273.0","13.9","16751.0","32.0","30209.0","57.6","8437.0","77.2","25573.0","2.1","12415.0","48.5","5999.0","23.5","1596.0","26.6","35.255","1486.0","692.0","406.0","5414.0","408.0","4720.0","543.0","694.0","16260.0","45.2","3739.0","10.4","328.0","4.5","417.0","8.8","12142.0","23.2","4124.0","45.2","5517.0","20153.0","20098.0","4578.0","22096.0","174.0","3131.0","14.2","69.4583635047","29.3048193691","5652.0","25.6","1540.0","27.2","144.0","2189.0",".","21.0","8.0","3645.0","67.7","23.2","69.0","43.0","21.0","9.0","12827.0","244.920950126"
"Kleiner Grasbrook und Steinwerder","1259.0","88.0","7.0","62.0","4.9","463.0","36.8","606.0","48.0","75.0","86.2","1004.0","1.3","788.0","78.5","53.0","5.3","27.0","50.9","12.3","102.0","4.0","9.0","417.0","38.0","594.0","25.0","-177.0","416.0","37.0","112.0","10.0","16.0","4.4","8.0","7.5","244.0","19.4","45.0","62.5","175.0","621.0","11663.0","70.0","735.0","0.0","2.0","0.3","50.5891156463","29.53375695","0.0","0.0","0.0","0.0",".",".",".","0.0","0.0","34.0","76.5","14.7","0.0","0.0","0.0","0.0","106.0","84.1938046068"
"Waltershof und Finkenwerder","11662.0","1943.0","16.7","2244.0","19.2","1693.0","14.5","2971.0","25.5","789.0","40.6","6148.0","1.9","3031.0","49.3","1187.0","19.3","317.0","26.7","28.598","408.0","96.0","133.0","885.0","112.0","872.0","178.0","13.0","4467.0","56.7","427.0","5.4","31.0","2.2","71.0","4.9","1064.0","9.1","302.0","19.7","589.0","5842.0","29837.0","2287.0","5755.0","1.0","1906.0","33.1","75.3339704605","37.1760418453","785.0","13.6","228.0","29.0","236.0","1976.0",".","5.0","2.0","734.0","52.2","44.8","7.0","5.0","6.0","3.0","4183.0","358.686331676"
"Altona-Altstadt","28227.0","4151.0","14.7","3663.0","13.0","5709.0","20.2","10475.0","37.1","2225.0","53.6","17530.0","1.6","11126.0","63.5","2722.0","15.5","920.0","33.8","2.749","10268.0","314.0","272.0","3536.0","206.0","3453.0","243.0","83.0","10419.0","49.6","1612.0","7.7","102.0","4.0","220.0","8.2","3953.0","14.0","928.0","26.1","2467.0","14133.0","27287.0","1582.0","15570.0","51.0","183.0","1.2","63.0760436737","34.7927161937","2865.0","18.4","867.0","30.3","1147.0",".","4022.0","30.0","4.0","1159.0","58.2","37.6","173.0","46.0","41.0","9.0","6367.0","225.564176143"
"Sternschanze","7805.0","1111.0","14.2","805.0","10.3","1618.0","20.7","2756.0","35.4","547.0","49.4","5027.0","1.6","3359.0","66.8","735.0","14.6","262.0","35.6","0.551","14165.0","113.0","113.0","1283.0","39.0","1313.0","56.0","-30.0","3012.0","50.0","397.0","6.6","25.0","3.5","50.0","9.4","935.0","12.0","234.0","24.1","552.0","4108.0","28257.0","494.0","4165.0","0.0","79.0","1.9","68.1795918367","36.3828315183","478.0","11.5","36.0","7.5","893.0",".",".","4.0","1.0","291.0","53.3","40.5","36.0","9.0","5.0","4.0","1505.0","192.825112108"
"Altona-Nord","21834.0","3337.0","15.3","2093.0","9.6","4098.0","18.8","7617.0","34.9","1713.0","51.4","13563.0","1.6","8615.0","63.5","2178.0","16.1","650.0","29.8","2.177","10029.0","284.0","106.0","2773.0","181.0","2908.0","213.0","-135.0","8939.0","52.9","1226.0","7.3","79.0","3.9","146.0","7.2","2754.0","12.6","659.0","23.1","1692.0","11411.0","27257.0","1138.0","11636.0","0.0","116.0","1.0","63.8952389137","34.0517083448","1429.0","12.3","244.0","17.1","793.0",".","4022.0","13.0","2.0","950.0","53.6","40.3","29.0","6.0","6.0","5.0","5140.0","235.412659155"
