"Statistische Daten zu den Stadtteilen Hamburgs, © Statistikamt Nord ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Stadtgebiet","Bevölkerung und Haushalte 31.12.2013","","","","","","","","","","","","","","","","","","","","","Bevölkerungsbewegung 2013","","","","","","","Sozialstruktur","","","","","","","","","","","","","","","Wohnen","","","","","","","","","","","","","","Infrastruktur und Verkehr","","","","","","","","","",""
"","Bevölkerung","Unter 18-Jährige","Anteil der unter 18-Jährigen in %"," 65-Jährige und Ältere","Anteil der 65-Jährigen und Älteren in %","Ausländerinnen und Ausländer","Ausländeranteil in %","Bevölkerung mit Migrations-hintergrund","Anteil der Bevölkerung mit Migrations-hintergrund in %","Unter 18-Jährige mit Migrations-hintergrund","Anteil der unter 18-Jährigen mit Migrations-hintergrund in %","Haushalte","Personen je Haushalt","Einpersonen-haushalte","Anteil der Einpersonen-haushalte in %","Haushalte mit Kindern","Anteil der Haushalte mit Kindern in %","Alleinerziehende","Anteil der Haushalte von Alleinerziehenden in %","Fläche in km²","Bevölkerungs-dichte","Geburten","Sterbefälle","Zuzüge","Zuzüge aus dem Hamburger Umland","Fortzüge","Fortzüge in das Hamburger Umland","Wanderungssaldo","Sozial-versicherungs-pflichtig Beschäftigte (Dez 2013)","Beschäftigten-quote in % (Dez 2013)","Arbeitslose (Dez 2013)","Arbeitslosenanteil in % (Dez 2013)","Jüngere Arbeitslose (Dez 2013)","Arbeitslosenanteil Jüngerer in % (Dez 2013)","Ältere Arbeitslose (Dez 2013)","Arbeitslosenanteil Älterer in % (Dez 2013)","Leistungs-empfänger/-innen nach SGB II (Dez 2013)","Anteil der Leistungs-empfänger/-innen nach SGB II in % (Dez 2013)","Unter 15-Jährige in Mindestsicherung (Dez 2013)","Anteil der unter 15-Jährigen in Mindestsicherung in % (Dez 2013)","Bedarfs-gemeinschaften nach SGB II (Dez 2013)","Lohn- und Einkommen-steuerpflichtige (2010)","Durchschnitt-liches Einkommen je Steuerpflichtigen in EUR (2010)","Wohngebäude (2013)","Wohnungen (2013)","Bezugsfertige Wohnungen (2013)","Wohnungen in Ein- und Zweifamilien-häusern (2013)","Anteil der Wohnungen in Ein- und Zweifamilien-häusern in % (2013)","Wohnungsgröße in m² (2013)","Wohnfläche je Einwohner/-in in m² (2013)","Sozialwohnungen (Jan 2014)","Sozialwohnungs-anteil in % (Jan 2014)","Sozialwohnungen mit Bindungsauslauf bis 2019","Sozialwohnungen mit Bindungsauslauf bis 2019 in %","Preise für Grundstücke in EUR/m² (Jan 2014)","Preise für Ein- bzw Zwei-familienhäuser in EUR/m² (Jan 2014)","Preise für Eigentums-wohnungen in EUR/m² (Jan 2014)","Kindergärten und Vorschulklassen (März 2014)","Grundschulen (2013/2014)","Schülerinnen und Schüler der Sekundarstufe I (2013/2014)","Anteil der Schülerinnen und Schüler in Stadtteilschulen und Schulformen mit mehreren Bildungsgängen in % (2013/2014)","Anteil der Schülerinnen und Schüler in Gymnasien in % (2013/2014)","Niedergelassene Ärzte (Dez 2013)","Allgemeinärzte (Dez 2013)","Zahnärzte (Nov 2013)","Apotheken (Nov 2013)","Private PKW (Jan 2014)","PKW-Dichte (Jan 2014)"
"Ottensen","34593.0","5297.0","15.3","4378.0","12.7","4666.0","13.5","8884.0","25.7","1806.0","34.2","21315.0","1.7","13027.0","61.1","3582.0","16.8","1100.0","30.7","2.862","12087.0","463.0","203.0","4124.0","280.0","3678.0","353.0","446.0","13689.0","53.4","1348.0","5.3","71.0","2.5","182.0","5.0","2505.0","7.2","534.0","11.6","1637.0","18369.0","36708.0","2360.0","18932.0","305.0","405.0","2.1","70.15560955","38.3946463157","1429.0","7.5","376.0","26.3","1185.0",".","4451.0","33.0","5.0","1469.0","50.2","46.1","167.0","27.0","55.0","11.0","9533.0","275.57598358"
"Bahrenfeld","27274.0","4105.0","15.1","4059.0","14.9","4018.0","14.7","7596.0","27.9","1689.0","41.3","16220.0","1.7","9636.0","59.4","2608.0","16.1","731.0","28.0","10.857","2512.0","333.0","253.0","3609.0","279.0","3567.0","402.0","42.0","11313.0","57.3","1175.0","6.0","81.0","3.1","169.0","6.7","2446.0","9.0","524.0","15.1","1627.0","14615.0","31146.0","3473.0","14028.0","28.0","2283.0","16.3","69.1390789849","35.5607171665","664.0","4.7","339.0","51.1","558.0","4236.0","3058.0","22.0","5.0","1275.0","55.2","41.9","34.0","15.0","22.0","5.0","8413.0","308.462271761"
"Groß Flottbek","10792.0","2203.0","20.4","2338.0","21.7","1300.0","12.0","2250.0","20.8","602.0","27.3","5187.0","2.1","2231.0","43.0","1297.0","25.0","191.0","14.7","2.414","4471.0","97.0","94.0","1413.0","71.0","1325.0","123.0","88.0","2920.0","44.2","134.0","2.0","4.0","0.4","31.0","2.9","100.0","0.9","15.0","0.8","73.0","5108.0","81320.0","2414.0","5175.0","36.0","2186.0","42.2","103.367729469","49.5670867309","36.0","0.7","0.0","0.0","942.0","4615.0","3650.0","7.0","1.0","725.0","14.6","84.8","62.0","10.0","23.0","5.0","4599.0","426.148999259"
"Othmarschen","12854.0","2402.0","18.7","3050.0","23.7","1219.0","9.5","2520.0","19.6","643.0","26.7","6373.0","2.0","2860.0","44.9","1424.0","22.3","215.0","15.1","6.014","2137.0","123.0","164.0","1333.0","73.0","1263.0","112.0","70.0","3471.0","44.6","189.0","2.4","7.0","0.6","32.0","2.2","140.0","1.1","17.0","0.8","112.0","6512.0","104692.0","2676.0","6203.0","13.0","2340.0","37.7","115.921167177","55.940485452","61.0","1.0","0.0","0.0","1247.0","5236.0","5440.0","16.0","3.0","689.0","13.8","86.1","37.0","8.0","7.0","1.0","6044.0","470.203827602"
"Lurup","35070.0","6769.0","19.3","6611.0","18.9","6277.0","17.9","15104.0","43.1","4198.0","62.3","17045.0","2.0","7453.0","43.7","3921.0","23.0","1144.0","29.2","6.377","5499.0","340.0","341.0","3558.0","484.0","2654.0","584.0","904.0","11756.0","51.4","1853.0","8.1","196.0","4.6","262.0","6.6","5666.0","16.2","1804.0","32.4","2752.0","15116.0","24990.0","5325.0","15584.0","266.0","5100.0","32.7","76.9578413758","34.1976333048","2892.0","18.6","1529.0","52.9","341.0","2390.0","2192.0","19.0","4.0","2273.0","59.5","35.6","33.0","15.0","13.0","6.0","11223.0","320.01710864"
"Osdorf","25773.0","5015.0","19.5","5966.0","23.1","3831.0","14.9","9182.0","35.6","2610.0","52.2","12897.0","2.0","5842.0","45.3","2928.0","22.7","875.0","29.9","7.259","3550.0","257.0","344.0","2455.0","213.0","2110.0","337.0","345.0","7694.0","49.5","1139.0","7.3","104.0","4.0","171.0","6.0","3564.0","13.8","1148.0","26.9","1758.0","11385.0","42846.0","3986.0","12367.0","139.0","3300.0","26.7","84.0690547425","40.3399681838","1972.0","15.9","843.0","42.7","656.0","3195.0","2448.0","13.0","4.0","1506.0","51.3","44.1","65.0","17.0","13.0","6.0","8997.0","349.086253056"
"Nienstedten","7271.0","1513.0","20.8","1821.0","25.0","749.0","10.3","1312.0","18.1","360.0","23.9","3529.0","2.1","1550.0","43.9","859.0","24.3","128.0","14.9","4.39","1656.0","51.0","79.0","805.0","50.0","758.0","87.0","47.0","1629.0","38.8","63.0","1.5","0.0","0.0","16.0","2.1","34.0","0.5","4.0","0.3","29.0","3351.0","138941.0","1786.0","3168.0","8.0","1678.0","53.0","123.390467172","53.7616558933","0.0","0.0","0.0","0.0","1145.0","6128.0","4962.0","8.0","1.0","472.0","21.2","76.9","16.0","2.0","9.0","2.0","3555.0","488.928620547"
"Blankenese","13122.0","2351.0","17.9","3625.0","27.6","1030.0","7.8","2123.0","16.2","556.0","23.7","6876.0","2.0","3155.0","45.9","1358.0","19.7","245.0","18.0","8.252","1590.0","94.0","104.0","1275.0","112.0","1134.0","136.0","141.0","3178.0","42.3","181.0","2.4","3.0","0.3","43.0","2.7","143.0","1.1","24.0","1.2","106.0","6166.0","101406.0","3337.0","6645.0","52.0","3061.0","46.1","116.147328819","58.8171772596","32.0","0.5","0.0","0.0","1455.0","5396.0","4207.0","12.0","3.0","757.0","22.1","77.5","94.0","27.0","25.0","7.0","6413.0","488.72123152"
"Iserbrook","11130.0","1937.0","17.4","2864.0","25.7","850.0","7.6","2171.0","19.5","579.0","29.8","5857.0","1.9","2701.0","46.1","1205.0","20.6","302.0","25.1","2.657","4189.0","89.0","143.0","1001.0","91.0","810.0","139.0","191.0","3630.0","54.2","288.0","4.3","15.0","1.4","52.0","4.3","585.0","5.3","158.0","10.1","337.0","5562.0","35790.0","2428.0","5567.0","47.0","2259.0","40.6","83.1052631579","41.5675651393","132.0","2.4","32.0","24.2","482.0","3144.0","2593.0","8.0","3.0","677.0","48.3","48.9","10.0","8.0","6.0","1.0","4590.0","412.398921833"
"Sülldorf","9137.0","1758.0","19.2","2026.0","22.2","875.0","9.6","1827.0","20.0","439.0","25.0","4519.0","2.0","2047.0","45.3","1051.0","23.3","254.0","24.2","5.603","1631.0","80.0","75.0","923.0","105.0","842.0","156.0","81.0","2737.0","48.3","250.0","4.4","18.0","1.9","48.0","4.8","517.0","5.7","113.0","7.8","347.0","4423.0","42532.0","2341.0","4299.0","25.0","2212.0","51.5","90.5387299372","42.5988836598","287.0","6.7","79.0","27.5","603.0","4029.0","2687.0","3.0","1.0","631.0","41.5","56.3","11.0","7.0","3.0","2.0","3588.0","392.689066433"
"Rissen","15015.0","2610.0","17.4","4618.0","30.8","964.0","6.4","2267.0","15.1","592.0","22.7","7669.0","2.0","3463.0","45.2","1567.0","20.4","274.0","17.5","16.648","902.0","101.0","230.0","1211.0","187.0","1038.0","236.0","173.0","4039.0","49.2","261.0","3.2","15.0","1.2","63.0","3.6","453.0","3.0","101.0","4.6","292.0","7184.0","61866.0","3666.0","7367.0","66.0","3403.0","46.2","98.7281118501","48.4402264402","178.0","2.4","0.0","0.0","507.0","3581.0","2665.0","8.0","2.0","899.0","32.3","66.5","35.0","7.0","16.0","4.0","6519.0","434.165834166"
"Eimsbüttel","56097.0","6791.0","12.1","6899.0","12.3","6540.0","11.7","12213.0","21.8","2170.0","32.1","38195.0","1.5","25988.0","68.0","4722.0","12.4","1361.0","28.8","3.204","17508.0","761.0","333.0","7099.0","493.0","7010.0","572.0","89.0","24798.0","57.4","1935.0","4.5","74.0","1.6","315.0","5.7","3062.0","5.5","551.0","9.2","2179.0","32786.0","34493.0","3224.0","33790.0","31.0","294.0","0.9","63.698076354","38.3685045546","601.0","1.8","85.0","14.1","1085.0","3755.0","3768.0","62.0","9.0","1623.0","35.9","60.0","264.0","37.0","63.0","13.0","15308.0","272.884467975"
"Rotherbaum","16091.0","2182.0","13.6","2425.0","15.1","2580.0","16.0","4510.0","28.0","756.0","34.6","10492.0","1.6","6818.0","65.0","1429.0","13.6","346.0","24.2","2.684","5995.0","191.0","87.0","2514.0","136.0","2373.0","110.0","141.0","5452.0","46.4","393.0","3.3","11.0","0.8","55.0","3.2","507.0","3.2","95.0","5.0","378.0","8473.0","63460.0","1174.0","9763.0","7.0","321.0","3.3","82.3721192256","49.9781865639","79.0","0.8","0.0","0.0","2611.0","7477.0","5312.0","18.0","2.0","591.0","17.9","79.9","126.0","18.0","47.0","8.0","5351.0","332.546143807"
"Harvestehude","16875.0","2540.0","15.1","3502.0","20.8","1688.0","10.0","3767.0","22.3","747.0","29.4","10391.0","1.7","6188.0","59.6","1592.0","15.3","341.0","21.4","2.019","8358.0","172.0","133.0","2080.0","127.0","1949.0","128.0","131.0","5076.0","45.3","409.0","3.7","13.0","1.0","64.0","3.2","549.0","3.3","83.0","3.8","417.0","8916.0","88273.0","1341.0","9937.0","166.0","528.0","5.3","96.7538492503","56.9744","112.0","1.1","88.0","78.6","2793.0","7892.0","5900.0","16.0","1.0","761.0","15.5","83.3","124.0","14.0","45.0","5.0","6673.0","395.437037037"
"Hoheluft-West","13033.0","1597.0","12.3","1717.0","13.2","1274.0","9.8","2437.0","18.7","400.0","25.2","8713.0","1.5","5740.0","65.9","1133.0","13.0","308.0","27.2","0.69","18888.0","175.0","90.0","1837.0","84.0","1799.0","136.0","38.0","5838.0","58.9","360.0","3.6","16.0","1.4","54.0","4.0","438.0","3.4","69.0","4.9","324.0","7865.0","37785.0","793.0","7866.0","0.0","110.0","1.4","66.3521484872","40.0464973529","28.0","0.4","16.0","57.1","1276.0",".","4067.0","8.0","1.0","422.0","24.6","74.2","24.0","7.0","12.0","3.0","3796.0","291.260646052"
"Lokstedt","27493.0","4313.0","15.7","5668.0","20.6","3569.0","13.0","7629.0","27.8","1849.0","43.0","14840.0","1.8","7964.0","53.7","2665.0","18.0","622.0","23.3","4.858","5659.0","284.0","316.0","4019.0","295.0","2825.0","319.0","1194.0","10121.0","55.8","785.0","4.3","61.0","2.1","114.0","4.1","1912.0","7.0","542.0","14.8","1032.0","13775.0","37901.0","3134.0","14576.0","388.0","2115.0","14.5","73.7618002195","39.1063907176","1166.0","8.0","1061.0","91.0","646.0","3673.0","3171.0","20.0","4.0","1253.0","37.5","55.8","60.0","18.0","16.0","7.0","9263.0","336.922125632"
"Niendorf","40145.0","6008.0","15.0","10802.0","26.9","2745.0","6.8","7014.0","17.5","1678.0","28.0","21516.0","1.9","10085.0","46.9","3847.0","17.9","853.0","22.2","12.698","3162.0","307.0","454.0","3084.0","359.0","2682.0","508.0","402.0","14183.0","57.9","826.0","3.4","61.0","1.6","162.0","3.3","1451.0","3.6","303.0","6.2","931.0","20942.0","38497.0","8306.0","20427.0","92.0","7157.0","35.0","85.1579282322","43.3309503051","797.0","3.9","532.0","66.8","437.0","3036.0","2589.0","17.0","5.0","2087.0","40.0","57.7","88.0","19.0","39.0","9.0","17302.0","430.987669697"
"Schnelsen","27853.0","5147.0","18.5","5669.0","20.4","2903.0","10.4","7378.0","26.5","2108.0","41.1","13586.0","2.0","5793.0","42.6","3215.0","23.7","882.0","27.4","8.978","3102.0","211.0","275.0","2514.0","384.0","2298.0","591.0","216.0","10036.0","55.4","918.0","5.1","67.0","2.0","144.0","4.5","2480.0","8.9","749.0","18.4","1289.0","13379.0","35223.0","5584.0","12811.0","147.0","5101.0","39.8","88.4340800874","40.6752953003","1794.0","14.0","244.0","13.6","392.0","2643.0","2288.0","21.0","4.0","1856.0","60.7","36.5","41.0","16.0","27.0","6.0","11570.0","415.395110042"
"Eidelstedt","30935.0","4907.0","15.9","7149.0","23.1","4235.0","13.7","9671.0","31.2","2482.0","50.6","16639.0","1.9","8161.0","49.0","3057.0","18.4","864.0","28.3","8.69","3560.0","341.0","338.0","2783.0","389.0","2801.0","611.0","-18.0","10901.0","55.1","1242.0","6.3","100.0","3.0","174.0","4.8","3378.0","10.9","1006.0","25.2","1805.0","15112.0","27988.0","4956.0","15343.0","30.0","4270.0","27.8","74.9707358404","37.1836431227","1654.0","10.8","596.0","36.0","348.0","2507.0","2327.0","11.0","5.0","1550.0","61.4","34.7","50.0","14.0","21.0","6.0","11082.0","358.23500889"
"Stellingen","23818.0","3117.0","13.1","4929.0","20.7","3477.0","14.6","7031.0","29.5","1444.0","46.6","13873.0","1.7","7999.0","57.7","2041.0","14.7","548.0","26.8","5.782","4119.0","250.0","248.0","3361.0","265.0","2993.0","446.0","368.0","9300.0","57.2","941.0","5.8","61.0","2.4","141.0","5.8","1927.0","8.1","430.0","16.3","1245.0","12062.0","30114.0","2718.0","13182.0","48.0","1661.0","12.6","69.3500986193","38.3816021496","150.0","1.1","59.0","39.3","341.0","2720.0","2601.0","11.0","3.0","907.0","49.4","44.2","40.0","13.0","10.0","3.0","8058.0","338.315559661"
"Hoheluft-Ost","9331.0","1190.0","12.8","1428.0","15.3","981.0","10.5","1898.0","20.4","317.0","27.0","6135.0","1.6","3896.0","63.5","815.0","13.3","224.0","27.5","0.581","16060.0","123.0","51.0","1127.0","57.0","1211.0","116.0","-84.0","3859.0","56.3","263.0","3.8","10.0","1.5","53.0","4.9","334.0","3.6","39.0","3.7","273.0","5298.0","48162.0","624.0","5837.0","26.0","93.0","1.6","72.1547027583","45.1363197942","172.0","2.9","74.0","43.0","1623.0",".","4067.0","6.0","1.0","315.0","23.2","75.9","162.0","46.0","17.0","4.0","3168.0","339.513449791"
"Eppendorf","23777.0","3135.0","13.2","4222.0","17.8","2100.0","8.8","4408.0","18.5","847.0","27.1","15054.0","1.6","9464.0","62.9","2095.0","13.9","499.0","23.8","2.716","8754.0","292.0","205.0","3164.0","211.0","2854.0","187.0","310.0","9581.0","56.8","533.0","3.2","20.0","1.0","105.0","4.4","585.0","2.5","81.0","3.0","456.0","13328.0","61052.0","1619.0","13987.0","55.0","368.0","2.6","79.819475227","46.9544097237","682.0","4.9","71.0","10.4","1767.0","5103.0","4340.0","14.0","3.0","817.0","21.7","74.5","147.0","25.0","41.0","11.0","8001.0","336.501661269"
"Groß Borstel","8086.0","1279.0","15.8","1740.0","21.5","841.0","10.4","1708.0","21.1","374.0","29.3","4599.0","1.8","2578.0","56.1","794.0","17.3","189.0","23.8","4.533","1784.0","124.0","89.0","996.0","65.0","867.0","110.0","129.0","2818.0","53.3","253.0","4.8","8.0","1.0","52.0","5.1","498.0","6.2","88.0","8.3","363.0","3955.0","39426.0","1735.0","4396.0","21.0","1563.0","35.6","74.3510009099","40.4213455355","255.0","5.8","135.0","52.9","454.0","3358.0","2379.0","8.0","2.0","420.0","42.9","53.3","9.0","6.0","7.0","2.0","3135.0","387.707148157"
"Alsterdorf","13749.0","2285.0","16.6","2720.0","19.8","1608.0","11.7","3218.0","23.4","815.0","35.8","7383.0","1.8","4019.0","54.4","1354.0","18.3","358.0","26.4","3.061","4492.0","145.0","168.0","1679.0","118.0","1523.0","135.0","156.0","4658.0","51.1","341.0","3.7","18.0","1.4","57.0","3.7","741.0","5.4","213.0","11.1","434.0","6459.0","51489.0","1933.0","7174.0","93.0","1282.0","17.9","77.997212155","40.6976507382","722.0","10.1","386.0","53.5","627.0","3884.0","3239.0","10.0","2.0","683.0","35.9","59.2","34.0","9.0","11.0","5.0","5019.0","365.044730526"
"Winterhude","51549.0","5984.0","11.6","7765.0","15.1","5793.0","11.2","11017.0","21.4","1874.0","31.5","33963.0","1.5","22656.0","66.7","4056.0","11.9","1076.0","26.5","7.6","6783.0","669.0","359.0","7327.0","503.0","6813.0","646.0","514.0","22515.0","58.4","1440.0","3.7","66.0","1.4","232.0","4.6","2246.0","4.4","416.0","8.0","1596.0","29212.0","48915.0","3510.0","31371.0","179.0","686.0","2.2","68.9839660833","41.9813381443","866.0","2.8","423.0","48.8","1942.0","4725.0","4384.0","36.0","6.0","1598.0","41.9","55.7","222.0","40.0","68.0","14.0","16896.0","327.76581505"
"Uhlenhorst","16501.0","1827.0","11.1","3377.0","20.5","1716.0","10.4","3603.0","21.8","632.0","34.6","10803.0","1.6","6931.0","64.2","1267.0","11.7","283.0","22.3","2.176","7583.0","190.0","216.0","2351.0","187.0","1979.0","180.0","372.0","6534.0","56.9","400.0","3.5","10.0","0.9","82.0","4.8","442.0","2.7","60.0","3.7","334.0","9688.0","57277.0","1130.0","10117.0","131.0","197.0","1.9","77.5638034991","47.555481486","0.0","0.0","0.0","0.0","2625.0",".","4836.0","11.0","1.0","435.0","26.2","71.7","95.0","24.0","18.0","4.0","6139.0","372.038058299"
"Hohenfelde","9149.0","961.0","10.5","1558.0","17.0","1470.0","16.1","2901.0","31.8","515.0","53.7","6033.0","1.5","4082.0","67.7","617.0","10.2","168.0","27.2","1.145","7990.0","83.0","108.0","1429.0","80.0","1416.0","119.0","13.0","3760.0","55.5","296.0","4.4","17.0","1.8","41.0","4.6","613.0","6.7","134.0","16.3","392.0","4973.0","36850.0","660.0","5537.0","0.0","131.0","2.4","67.2904099693","40.7243414581","343.0","6.2","282.0","82.2","1200.0",".","3987.0","3.0","0.0","252.0","45.2","48.4","33.0","12.0","13.0","3.0","2648.0","289.430538857"
"Barmbek-Süd","32782.0","3105.0","9.5","5100.0","15.6","3917.0","11.9","7902.0","24.1","1368.0","44.3","22991.0","1.4","16015.0","69.7","2239.0","9.7","775.0","34.6","3.06","10713.0","323.0","298.0","4911.0","412.0","4426.0","494.0","485.0","15437.0","61.8","1335.0","5.3","67.0","2.1","216.0","7.2","2377.0","7.3","479.0","17.8","1635.0","18800.0","28731.0","2042.0","21156.0","270.0","112.0","0.5","58.137171488","37.5190653407","643.0","3.0","313.0","48.7","638.0",".","3116.0","24.0","3.0","809.0","53.3","43.4","46.0","22.0","25.0","7.0","9545.0","291.165883717"
"Dulsberg","17234.0","2226.0","12.9","2038.0","11.8","3575.0","20.7","6943.0","40.3","1578.0","71.4","11902.0","1.5","8366.0","70.3","1408.0","11.8","651.0","46.2","1.187","14519.0","185.0","148.0","2286.0","170.0","2445.0","213.0","-159.0","7490.0","56.4","1215.0","9.2","82.0","3.7","135.0","8.7","3283.0","19.0","917.0","47.7","1954.0","8800.0","19453.0","1064.0","10594.0","0.0","39.0","0.4","53.2289975458","32.7206684461","1016.0","9.6","347.0","34.2","597.0",".","2218.0","8.0","1.0","663.0","71.3","23.8","22.0","8.0","8.0","3.0","3820.0","221.654868284"
"Barmbek-Nord","39890.0","3678.0","9.2","5633.0","14.1","4564.0","11.4","9335.0","23.4","1605.0","43.8","28528.0","1.4","20267.0","71.0","2605.0","9.1","849.0","32.6","3.914","10192.0","406.0","377.0","5899.0","558.0","5246.0","591.0","653.0","19505.0","62.8","1801.0","5.8","105.0","2.4","235.0","6.7","3510.0","8.8","672.0","21.1","2499.0","22404.0","25545.0","2650.0","26315.0","130.0","261.0","1.0","56.2438913167","37.1034845826","667.0","2.5","365.0","54.7","624.0",".","2612.0","11.0","2.0","964.0","58.7","38.0","92.0","26.0","36.0","12.0","10706.0","268.388067185"
"Ohlsdorf","15085.0","2282.0","15.1","2626.0","17.4","1263.0","8.4","2826.0","18.7","591.0","26.0","8878.0","1.7","5133.0","57.8","1434.0","16.2","359.0","25.0","7.166","2105.0","145.0","130.0","1759.0","159.0","1843.0","227.0","-84.0","5971.0","56.7","444.0","4.2","28.0","2.0","79.0","5.0","914.0","6.1","187.0","9.7","615.0","8464.0","35324.0","2380.0","8252.0","99.0","1718.0","20.8","72.8709403781","39.8628438847","395.0","4.8","299.0","75.7","576.0","3049.0","2527.0","8.0","1.0","649.0","49.9","47.3","14.0","7.0","8.0","4.0","5245.0","347.69638714"
"Fuhlsbüttel","12130.0","1814.0","15.0","2515.0","20.7","1090.0","9.0","2293.0","18.9","489.0","27.2","7026.0","1.7","3832.0","54.5","1166.0","16.6","320.0","27.4","6.582","1843.0","126.0","110.0","1335.0","119.0","1356.0","220.0","-21.0","4719.0","58.1","388.0","4.8","30.0","2.5","61.0","4.6","751.0","6.2","180.0","12.1","470.0","6507.0","35699.0","2038.0","6650.0","4.0","1492.0","22.4","76.2210526316","41.7864798021","182.0","2.7","41.0","22.5","511.0","3584.0","2482.0","8.0","2.0","594.0","38.6","60.1","25.0","7.0","20.0","4.0","4659.0","384.089035449"
"Langenhorn","42030.0","7112.0","16.9","8784.0","20.9","4668.0","11.1","10659.0","25.4","2816.0","39.8","21831.0","1.9","10557.0","48.4","4315.0","19.8","1202.0","27.9","13.753","3056.0","367.0","505.0","4117.0","594.0","3823.0","920.0","294.0","15158.0","55.1","1467.0","5.3","146.0","3.0","248.0","5.1","3900.0","9.3","1174.0","20.4","2068.0","20413.0","28562.0","9023.0","20189.0","154.0","8207.0","40.7","75.4439546288","36.2393052581","2298.0","11.4","1320.0","57.4","301.0","2262.0","2117.0","23.0","6.0","2430.0","55.1","40.2","83.0","21.0","25.0","10.0","15823.0","376.469188675"
"Eilbek","20887.0","2187.0","10.5","3519.0","16.8","2662.0","12.7","5665.0","27.1","1139.0","52.2","14178.0","1.5","9510.0","67.1","1486.0","10.5","436.0","29.3","1.726","12101.0","216.0","209.0","2798.0","234.0","2701.0","329.0","97.0","9458.0","61.1","821.0","5.3","44.0","2.1","126.0","6.3","1581.0","7.6","359.0","18.9","1018.0","12083.0","28782.0","1526.0","12918.0","12.0","186.0","1.4","62.190354544","38.4629195193","427.0","3.3","30.0","7.0","752.0","3419.0","3085.0","12.0","3.0","583.0","49.2","46.0","35.0","12.0","26.0","4.0","6135.0","293.723368602"
"Wandsbek","33388.0","3938.0","11.8","6669.0","20.0","4378.0","13.1","9731.0","29.1","2055.0","52.4","21008.0","1.6","12903.0","61.4","2626.0","12.5","762.0","29.0","5.994","5570.0","310.0","337.0","4221.0","387.0","3913.0","490.0","308.0","14082.0","60.0","1409.0","6.0","91.0","2.4","225.0","6.5","2967.0","8.9","713.0","21.9","1826.0","17569.0","26844.0","3864.0","19569.0","130.0","2237.0","11.4","64.6739741428","37.9059841859","928.0","4.7","201.0","21.7","384.0","2641.0","2444.0","13.0","5.0","1134.0","54.3","41.6","62.0","26.0","40.0","8.0","11241.0","336.677848329"
"Marienthal","12297.0","1756.0","14.3","2777.0","22.6","1015.0","8.3","2687.0","21.8","621.0","35.3","6945.0","1.8","3672.0","52.9","1154.0","16.6","232.0","20.1","3.253","3780.0","142.0","174.0","1369.0","115.0","1346.0","193.0","23.0","4568.0","57.0","310.0","3.9","19.0","1.7","66.0","4.9","566.0","4.6","124.0","8.3","353.0","6676.0","51563.0","2122.0","6489.0","13.0","1573.0","24.2","89.7853290183","47.3787915752","25.0","0.4","24.0","96.0","496.0","3299.0","2815.0","9.0","1.0","493.0","31.4","66.9","73.0","13.0","15.0","5.0","5238.0","425.957550622"
"Jenfeld","24710.0","4624.0","18.7","4559.0","18.5","4569.0","18.5","12414.0","50.2","3246.0","70.4","12416.0","2.0","5869.0","47.3","2673.0","21.5","842.0","31.5","5.025","4917.0","255.0","255.0","2345.0","165.0","2350.0","350.0","-5.0","7565.0","46.4","1648.0","10.1","118.0","3.5","266.0","8.7","5143.0","20.8","1683.0","43.7","2440.0","10128.0","22025.0","2615.0","10751.0","16.0","2060.0","19.2","72.6715654358","31.6184540672","2197.0","20.4","1099.0","50.0","336.0","2258.0","1954.0","13.0","4.0","1619.0","64.6","29.7","30.0","13.0","18.0","5.0","7305.0","295.629299879"
"Tonndorf","13522.0","2165.0","16.0","2598.0","19.2","1735.0","12.8","4346.0","32.2","1141.0","53.1","7595.0","1.8","4022.0","53.0","1334.0","17.6","356.0","26.7","3.941","3431.0","147.0","168.0","1495.0","124.0","1422.0","250.0","73.0","5216.0","57.4","572.0","6.3","38.0","2.7","111.0","7.6","1408.0","10.4","415.0","22.6","788.0","6840.0","30509.0","2272.0","6944.0","78.0","1765.0","25.4","76.5733006912","39.3229551841","448.0","6.5","293.0","65.4","349.0","2463.0","1994.0","4.0","1.0","686.0","57.6","38.3","21.0","6.0","9.0","3.0","5226.0","386.48128975"
"Farmsen-Berne","33992.0","5840.0","17.2","6847.0","20.1","3432.0","10.1","9225.0","27.1","2448.0","42.0","17536.0","1.9","8085.0","46.1","3757.0","21.4","1000.0","26.6","8.256","4117.0","293.0","403.0","3216.0","232.0","2560.0","385.0","656.0","12718.0","57.0","1112.0","5.0","82.0","2.4","178.0","4.4","3537.0","10.4","1068.0","22.2","1805.0","16565.0","29526.0","6346.0","16512.0","158.0","5636.0","34.1","75.7647165698","36.8035714286","1084.0","6.6","85.0","7.8","375.0","2570.0","2152.0","21.0","8.0","1969.0","55.7","39.3","37.0","15.0","15.0","5.0","12881.0","378.942104024"
