category,max,nulls
undefined,18.7972091174408,16770,23107,15256,11029,7223,6307,5658,3906,2147,1042,453
undefined,4.46783642385953,61286,4596,6109,7400,6485,4066,1688,512,348,290,118
undefined,4.75410371547245,50248,22241,13579,4461,1934,305,59,21,30,11,9
undefined,5.98782544477391,12765,16938,24301,17305,9112,5589,3054,1718,1191,604,321
undefined,2.02869937834731,70991,6450,5314,4406,3252,1318,432,276,291,97,71
undefined,5.43391385476426,31452,25157,18442,10058,3704,1403,798,671,549,397,267
undefined,4.78142680084317,34762,18734,18099,11404,5278,2112,1063,854,380,171,41
undefined,27.019166596114,9699,32430,20649,13247,8884,4643,2000,631,440,185,90
undefined,23.877629018644,16049,30486,18890,11995,7674,3477,2330,1171,572,118,136
undefined,9.99124258106956,73519,16315,2316,331,107,77,64,65,42,32,30
undefined,6.22248750994297,43167,15552,12570,6880,5776,4198,2513,1127,897,143,75
undefined,6.60183563300929,30842,21145,16156,10637,5575,3182,2291,1447,934,511,178
undefined,3.28896586415212,44427,15187,14083,9311,4188,2593,1692,783,298,188,148
undefined,11.6463620297126,22879,24552,16379,11397,8651,4340,2531,1395,406,271,97
undefined,9.60524869511442,27212,21557,14646,11293,7118,5158,2430,1541,1132,648,163
undefined,14.367978189599,22845,29664,18676,9968,5798,2961,1964,678,245,65,34
undefined,3.27006727002981,60656,11444,9609,6659,2034,1150,731,335,179,52,49
undefined,7.49010863499665,28868,18502,15127,10690,6926,5165,3525,1799,1028,789,479
undefined,12.7199493026551,75919,11313,2453,1033,682,582,434,239,105,82,56
undefined,2.24339662080538,60916,8870,7735,6617,4795,2299,791,373,282,144,76
undefined,6.86419193463207,49916,23982,11245,3370,1746,1051,705,526,131,117,109
undefined,3.1478922720495,60965,11802,10240,6003,1893,1145,457,185,77,73,58
undefined,5.78809029833154,82157,5015,2124,1610,802,485,194,172,191,91,57
undefined,9.52924661781022,27542,23950,13354,9513,7791,4956,2937,1516,700,345,294
undefined,11.4599628838686,41926,32508,10814,2775,1692,1112,865,550,353,144,159
undefined,2.02763914782762,60690,6638,6544,6399,5622,3935,1380,745,538,205,202
undefined,15.1264365971721,12191,18052,14173,13860,12249,8967,5423,4093,2240,1111,539
undefined,13.5153655475845,27016,34551,16723,8432,3510,1388,478,207,217,185,191
undefined,62.0780719464952,29966,44642,11329,3475,1402,664,487,358,229,187,159
undefined,9.32901863171717,23302,25539,15864,11579,5770,3918,3040,2411,874,292,309
undefined,3.63416438832815,32257,17982,17990,12437,5903,3370,1697,792,317,100,53
undefined,4.60325821100696,40846,18871,16650,8577,3717,1965,1042,712,377,94,47
undefined,7.08297493156928,55047,19529,10119,4382,2470,932,199,64,48,61,47
undefined,0.993465901405216,84773,1142,1165,1089,987,853,859,750,795,317,168
undefined,5.79069271357979,40992,26430,14945,5094,2391,1224,682,488,373,205,74
undefined,10.4446367737465,24611,21392,16714,13376,8864,4898,1511,896,342,232,62
undefined,2.55881158094993,78639,5409,3793,2297,1253,908,403,80,44,57,15
undefined,3.53374901194644,33670,15584,16771,12540,6528,3739,1898,1175,647,264,82
undefined,7.28634721072735,36775,32011,16251,5085,1935,533,156,46,47,37,22
undefined,33.6423054409641,57624,34978,68,27,37,41,37,25,7,14,40
undefined,7.68958214590597,46200,30871,10779,3841,1149,22,15,9,4,6,2
undefined,19.3582396380602,27684,45236,15638,3203,567,167,127,87,65,73,51
undefined,5.42996227144147,14015,15326,18656,19195,14102,6983,3097,821,359,229,115
undefined,36.5483311862908,22775,36510,11775,6832,5012,4148,2622,1813,711,471,229
undefined,3.49971799826231,62599,9628,7119,4928,2826,2320,1786,934,381,195,182
undefined,8.17080368454372,29539,27749,16321,8044,4606,3264,1772,1169,170,117,147
undefined,3.58816155984547,41912,15895,14793,9832,5533,2837,865,588,351,210,82
undefined,8.89766297494574,19984,20770,19447,14753,9097,4904,1982,1080,453,280,148
undefined,13.6611753831325,34727,26409,12271,7823,5723,3331,1228,590,421,240,135
undefined,2.60429909684821,63914,8490,7580,6448,3940,1330,732,312,88,46,18
undefined,7.46288046381864,30281,23075,16059,10572,6585,3254,1605,889,243,161,174
undefined,15.268673447779,17895,23249,14108,10661,7828,7016,6353,3344,1484,727,233
undefined,14.4134015150462,20738,20873,14347,10772,8636,6658,4448,3171,2106,958,191
undefined,11.7958706544524,29948,28015,12869,8096,5311,3670,2417,1273,733,389,177
undefined,4.18775228785938,50989,12919,12377,6565,4195,2265,1300,1005,658,504,121
undefined,6.69738777950645,29229,21247,19317,11222,5699,2848,1698,884,400,163,191
undefined,5.68693618854682,42960,18343,13692,8750,5344,1805,969,560,230,146,99
undefined,5.29907593653521,45546,15668,15565,5866,4367,2993,2024,443,221,94,111
undefined,28.7725324766518,30688,44564,11192,3196,1839,711,199,194,137,111,67
undefined,15.9036930105025,20472,26614,14498,11514,6530,4815,3621,2829,1272,540,193
undefined,53.2727499583035,32274,43930,8596,4112,2154,591,377,238,226,205,195
undefined,3.43559557162652,57312,10240,8317,6957,3043,2576,1548,1047,916,691,251
undefined,7.61979390374791,35366,23196,13853,8304,5873,3860,1547,322,290,180,107
undefined,2.81600222139026,50276,11532,10712,9151,5200,3278,1512,793,274,142,28
undefined,117.352300082577,11128,50656,12757,6498,4117,2552,1750,1370,877,771,422
undefined,2.81894136518744,54323,9879,9235,7633,5098,3005,1824,1273,265,263,100
undefined,7.38928794311914,23696,22281,18058,10964,6545,4513,3017,1919,1140,480,285
undefined,6.10477721421078,53308,19487,11374,4126,2104,1396,550,165,172,95,121
undefined,3.8110747481193,42719,17690,14172,7504,3912,2830,1464,1130,878,427,172
undefined,5.54032889868631,49961,21014,11589,5298,2725,1113,522,267,203,172,34
undefined,6.44714980869723,63318,17277,7403,2145,1050,602,363,278,239,169,54
undefined,2.02794482940961,77904,4317,3762,3033,2129,1045,296,213,148,44,7
undefined,1.6176856954345,80028,3459,3190,2559,1653,1284,563,100,45,13,4
undefined,22.1082192003775,27740,39764,11735,5214,3378,2200,1114,524,456,459,314
undefined,2.70941914804009,62954,9459,8815,6333,3030,943,521,288,277,154,124
undefined,2.58277020484418,81357,3825,2988,2311,1467,253,252,290,130,18,7
undefined,3.09276465988719,36750,15622,15703,12335,6107,3224,1787,718,327,231,94
undefined,9.12165227292525,33444,27912,15659,7381,3057,2178,1236,769,629,394,239
undefined,3.9828708749679,62013,10661,9813,5469,2729,1046,517,190,139,165,156
undefined,2.854216567653,88177,1865,1445,991,235,71,33,23,11,16,31
undefined,3.23090769144037,63332,12023,10287,5086,787,543,418,173,115,63,71
undefined,6.44715115271501,74450,9443,5308,2044,901,373,116,106,70,48,39
undefined,6.60555137673826,28854,18472,17086,9785,7046,5464,3278,1933,552,359,69
undefined,19.2539833453346,16570,39014,19654,8453,4155,1956,974,454,533,534,601
undefined,3.44162872494463,53350,12141,11168,7290,3077,1940,1677,1110,693,348,104
undefined,1.77865847136114,82624,2878,2205,1978,1495,988,408,167,121,30,4
undefined,14.7952846092823,21349,32362,16151,8979,5333,3506,2236,1423,823,547,189
undefined,19.9054404821367,44641,43117,4118,315,45,59,86,97,153,139,128
undefined,2.52196896803619,52526,12968,11613,8033,4600,2020,756,229,85,38,30
undefined,7.95819945425074,49194,28538,10674,3175,791,158,45,58,84,84,97
undefined,4.82025892720666,39435,19649,17039,7168,4247,2222,1367,910,491,222,148
undefined,5.38452864372421,48214,15509,12543,7422,4281,2733,1476,448,128,84,60
undefined,11.6213733429773,27496,26449,16293,8095,6461,3340,1662,979,1081,582,460
undefined,8.80304107174556,31055,21007,15530,9646,6115,3245,2287,1698,1063,911,341
undefined,3.53453415041554,75791,7183,5652,2465,569,432,185,115,160,150,196
undefined,3.6146066468956,52389,11701,10386,8354,4503,2293,1569,782,425,426,70
undefined,1.73653909542829,84636,2460,2026,1446,1135,673,292,57,67,53,53
undefined,1.30374793920785,79901,2251,2060,2033,1797,1571,1276,1064,460,170,315
undefined,29.9900250546612,15812,27759,14389,7966,5766,5822,6504,4859,2731,999,291
undefined,56.924836817125,42449,38599,6644,2872,799,430,255,237,222,196,195
undefined,7.9479731942747,47131,23247,9998,4975,2830,1932,1278,668,302,368,169
undefined,3.38206531736246,72401,7093,5676,4043,1298,964,578,429,228,84,104
undefined,44.0371356470648,28630,36669,10772,5534,3828,2769,1962,1045,572,666,451
undefined,7.7849726799521,54306,16412,9209,5806,2983,1972,1125,351,328,253,153
undefined,3.82739639271529,49430,11372,11925,8431,4526,3148,1862,1134,710,278,82
undefined,7.58408421023666,40138,23244,13481,7236,4710,1940,804,580,444,196,125
undefined,4.41298095788272,59029,11924,10181,3972,2683,1708,1423,873,618,315,172
undefined,7.31593917459291,36072,16815,15021,8653,5753,3732,3225,1939,959,458,271
undefined,3.11350823970983,62824,9642,8745,6002,2493,1388,796,426,243,284,55
undefined,3.67185255828982,62354,10535,9775,5115,1707,1600,635,363,331,273,210
undefined,2.52306771146643,62956,7748,7131,6383,3973,1928,1277,654,442,283,123
undefined,4.02825707316938,44163,15118,13832,6831,4413,3143,2342,1796,716,497,47
undefined,2.43472715951595,63501,7616,7379,6030,4192,1766,1132,463,312,173,334
undefined,5.1182724366926,55064,16541,12027,5110,2413,1082,276,173,69,71,72
undefined,2.52228265852759,81735,3919,3321,2428,1256,55,30,41,39,40,34
undefined,1.68186946577914,84452,2183,1731,1582,1367,954,464,67,34,54,10
undefined,5.60111378356118,37715,20059,14698,8501,5019,3101,1466,1315,699,250,75
undefined,9.06610153831303,35955,26223,15180,7501,3821,2592,750,312,255,140,169
undefined,2.5168939760686,61621,10368,8901,6856,3312,735,543,310,145,64,43
undefined,4.26287352479581,37417,17524,14937,8725,5804,3567,2266,1197,1070,359,32
undefined,3.78675821499904,45904,17830,14793,7122,3536,1629,803,540,354,169,218
undefined,1.79139341685089,80729,3308,2804,2409,1886,1470,273,4,10,1,4
undefined,2.42866230273818,57079,10584,9792,7459,5349,1101,654,423,243,150,64
undefined,1.55641476888219,88548,1147,905,780,691,558,197,47,10,8,7
undefined,9.0598908180366,34206,30783,14715,7470,3014,1418,525,388,134,112,133
undefined,2.71902905621005,74398,6802,5189,3521,1478,637,604,248,17,3,1
undefined,5.22169234663399,51922,18634,13086,4801,1759,996,697,470,282,112,139
undefined,4.43815787535585,46436,15389,13966,8300,4725,2101,664,512,434,282,89
undefined,4.15528586279569,49159,14914,12825,7264,4119,2116,1251,473,368,287,122
undefined,2.44935236101555,67915,8639,6915,4981,2962,829,435,134,64,13,11
undefined,0.971495423392949,92306,154,104,69,79,72,53,29,11,11,10
undefined,2.24726330494239,77060,4707,4113,2964,1966,806,480,260,225,220,97
undefined,5.40251739571797,33021,20879,20306,10355,3706,2518,1120,524,245,125,99
undefined,5.52649958823147,46785,19747,14223,5677,2695,2028,725,421,282,193,122
undefined,7.13107509881042,40318,18624,13972,7501,4567,2974,2526,1007,772,474,163
undefined,2.86639539630783,63850,9937,8900,6510,1881,551,492,274,167,227,109
undefined,1.98173226526247,79533,3293,2977,3093,2513,1052,203,75,73,51,35
undefined,0.999941283130196,91894,116,151,124,125,122,113,89,85,50,29
undefined,4.09982609587426,39709,13731,14044,9655,6467,4056,2079,1355,833,781,188
undefined,6.27660695427523,41605,18508,14981,8782,4356,1898,1059,559,687,392,71
undefined,3.8767906235062,50786,12089,11543,6595,4095,3208,2443,1056,730,258,95
undefined,7.29586006947771,49768,24707,12242,3321,1715,548,350,54,39,69,85
undefined,10.6876032693672,38802,24473,11957,7043,5349,2126,1213,858,538,267,272
undefined,3.80921755670861,63956,12485,9364,4271,1440,628,308,149,90,100,107
undefined,2.18988068574882,74263,6099,4842,3613,2242,767,448,271,223,108,22
undefined,1.47764723366506,80139,2727,2435,2112,1814,1593,1118,633,105,104,118
undefined,1.78762163197212,83263,2642,2181,1834,1312,771,424,237,170,53,11
undefined,1.43924844171222,91294,499,382,353,194,75,48,46,1,2,4
undefined,4.65346779932271,37389,22172,18072,9637,3740,1389,287,113,64,27,8
undefined,3.00794458529631,67762,9301,8008,5322,1348,480,271,170,75,95,66
undefined,20.7611631245278,44838,30430,8112,4574,2384,1026,628,188,212,238,268
undefined,2.51674960695488,62526,7965,6555,6077,4605,2279,1466,654,444,176,151
undefined,9.81088281882642,45471,24187,11121,6410,3106,978,693,363,178,198,193
undefined,3.49221101387344,57056,12080,10606,5992,2702,1592,1088,666,693,369,54
undefined,2.34370018616991,72848,6314,5086,3966,2445,1008,472,466,171,94,28
undefined,4.6786696344641,69355,11886,7376,2839,825,236,128,80,53,56,64
undefined,3.77579988282374,50852,11716,11535,8373,4794,2872,1451,748,253,142,162
undefined,7.11963572518402,35001,17134,13940,9866,7384,4203,2494,2067,636,94,79
undefined,2.89969001484889,60812,8340,7459,7258,4333,2065,1398,678,369,179,7
undefined,5.89620420932541,38564,17566,13782,7879,5092,3352,2254,2043,1479,664,223
undefined,2.16953106940297,73703,5670,4747,3378,2391,1229,868,331,312,192,77
undefined,7.84002281561599,46929,22078,12459,5359,2491,1199,870,695,477,235,106
undefined,3.06783806113534,53455,9877,8894,7759,5113,3537,2109,1217,552,279,106
undefined,5.42238796663712,31644,16626,20089,12926,4739,3309,2218,851,222,154,120
undefined,5.49070919641396,40475,15685,14560,8564,5088,3943,2367,1154,636,228,198
undefined,3.6119768591761,70226,8217,6761,4211,1613,1007,485,217,82,39,40
undefined,2.79329009925686,69511,7540,6901,5446,1939,457,293,293,210,172,136
undefined,3.57020320745712,90503,1494,738,122,4,4,8,6,11,2,6
undefined,1,90049,474,449,410,363,268,269,274,207,86,49
undefined,4.32415659463024,42202,17184,16706,8528,4575,2470,557,314,226,82,54
undefined,0.993579856671568,88208,640,596,596,483,467,495,425,328,362,298
undefined,2.51697917795682,63363,9015,7957,6230,3569,1351,772,304,140,122,75
undefined,0.970743237111603,92645,56,63,42,27,15,18,14,9,6,3
undefined,4.31391128361831,38917,19279,16871,8739,4186,2065,1349,803,446,151,92
undefined,1.93883948680964,85994,2579,1615,1543,830,317,9,0,2,2,7
undefined,2.33891093748082,58334,11649,9507,7301,3780,1144,584,343,182,63,11
undefined,6.99393852963391,73877,12652,3933,999,585,402,183,104,69,55,39
undefined,15.0928537979289,60277,29801,2391,160,181,40,7,4,4,6,27
