category,max,nulls
undefined,18.7972091174408,15173,14444,8404,8319,8341,6217,5390,4014,3444,3229,3006,3010,2431,2149,1715,1339,770,627,412,316,148
undefined,4.46783642385953,64001,2148,2107,2419,3179,3400,3290,3103,2824,2282,1477,1042,484,231,182,167,152,171,116,62,61
undefined,4.75410371547245,49006,12690,10376,8165,5701,2735,1813,1244,728,218,98,43,17,9,9,12,14,3,8,5,4
undefined,5.98782544477391,11703,7286,9379,12451,11965,9917,7988,5315,3913,3141,2396,1737,1432,1043,854,751,574,416,299,237,101
undefined,2.02869937834731,69635,3444,3379,2884,2761,2522,2176,1970,1478,931,450,262,218,165,138,156,149,65,38,38,39
undefined,5.43391385476426,30947,13135,13422,10745,7525,5792,3726,2178,1394,800,545,456,340,324,337,231,327,297,109,136,132
undefined,4.78142680084317,33686,9595,9703,9705,8462,6348,5248,3116,2364,1254,873,548,518,494,370,233,158,90,92,36,5
undefined,27.019166596114,8464,17762,13903,11588,8958,7207,6234,5127,4578,2860,2176,1402,808,465,379,330,356,131,79,40,51
undefined,23.877629018644,14606,17531,12834,9860,8929,6981,5044,4218,3575,2223,1668,1643,1121,955,741,505,175,87,63,70,69
undefined,9.99124258106956,72546,11973,5267,1740,611,223,101,64,52,33,49,36,28,34,34,20,22,18,17,15,15
undefined,6.22248750994297,40897,7959,7222,7702,5233,4079,3509,3194,3218,2675,1964,1564,1167,989,379,626,294,107,38,37,45
undefined,6.60183563300929,29055,10110,10972,8992,7262,6257,4716,3361,2653,1894,1500,1279,1170,975,647,601,495,450,324,100,85
undefined,3.28896586415212,42966,7712,7678,7599,6838,5732,3810,2443,1831,1448,1265,1139,810,491,390,215,158,136,86,104,47
undefined,11.6463620297126,21364,13619,11217,8484,7497,5596,5621,5123,3674,3022,1915,1605,1379,1088,736,273,294,203,88,52,48
undefined,9.60524869511442,25578,10780,11207,8254,6538,6514,5229,3971,3447,2714,2487,1413,928,862,831,648,616,447,268,96,70
undefined,14.367978189599,21385,15332,13945,10612,8178,5705,4834,3572,2847,1983,1415,1173,887,440,247,203,45,29,33,30,3
undefined,3.27006727002981,61555,5756,5463,4972,4358,3650,2803,1178,816,639,456,375,279,169,148,146,36,32,18,35,14
undefined,7.49010863499665,26713,8970,9731,9177,6459,6347,5240,4152,3197,2898,2529,2010,1502,1013,713,540,435,451,338,375,108
undefined,12.7199493026551,76384,7856,3258,1701,630,513,458,356,281,307,224,212,222,171,77,56,49,37,50,32,24
undefined,2.24339662080538,60290,4605,4523,4233,3614,3664,3009,2693,2061,1512,801,567,346,265,162,163,150,123,37,33,47
undefined,6.86419193463207,47601,13099,11391,8145,3611,2216,1610,1151,860,741,593,419,363,332,264,115,73,60,97,69,88
undefined,3.1478922720495,60225,6337,5983,5534,4897,3676,2457,1187,672,680,415,271,170,120,69,49,26,35,39,47,9
undefined,5.78809029833154,81160,3329,1972,1295,1125,980,777,520,390,372,219,131,105,78,106,82,106,48,43,29,31
undefined,9.52924661781022,25439,11611,12027,7760,6241,5158,5236,5039,3419,2918,2202,1615,1392,888,623,400,289,208,140,137,156
undefined,11.4599628838686,40286,18912,13844,8001,3619,1722,1213,1017,764,688,707,470,416,303,267,246,114,83,66,70,90
undefined,2.02763914782762,59716,3459,3385,3250,3357,3213,3192,3025,2571,2521,1515,726,758,498,349,364,275,175,151,192,206
undefined,15.1264365971721,10788,9673,7909,6794,7226,7391,6990,6693,6249,5567,3847,3048,2352,2298,1952,1343,1101,680,452,402,143
undefined,13.5153655475845,25399,20106,13424,10123,7463,5145,4299,2312,1499,1003,622,464,228,115,97,116,108,87,94,75,119
undefined,62.0780719464952,28287,32190,13739,8413,3153,2521,1043,888,547,356,320,291,203,194,172,140,90,82,105,92,72
undefined,9.32901863171717,22332,12795,12821,9006,7195,6394,5692,3542,2330,2110,1662,1637,1428,1456,1000,653,227,161,139,141,177
undefined,3.63416438832815,30888,8915,9361,9248,9037,7629,5134,3377,2753,2062,1477,986,794,467,332,226,69,59,32,28,24
undefined,4.60325821100696,40250,9802,9482,8989,7752,5092,3398,2213,1670,1073,891,582,494,407,279,227,156,82,13,22,24
undefined,7.08297493156928,53577,10765,9450,6162,4730,2584,1778,1409,1071,717,239,132,60,47,22,23,24,29,31,35,13
undefined,0.993465901405216,84976,571,497,556,525,516,523,473,485,424,409,428,435,401,358,455,367,197,129,113,60
undefined,5.79069271357979,41171,13684,12850,9943,4869,3153,1730,1375,1013,698,542,399,298,300,204,201,179,130,77,52,30
undefined,10.4446367737465,22825,11502,10516,9659,7673,7176,6704,5246,3753,2954,1781,955,585,460,453,211,141,125,113,41,25
undefined,2.55881158094993,79233,2764,2430,2124,1614,1274,971,684,534,337,423,198,111,45,34,25,22,36,23,10,6
undefined,3.53374901194644,31995,7850,7810,8742,8586,7326,5707,3674,3011,2415,1570,1100,910,740,456,359,291,189,84,57,26
undefined,7.28634721072735,35084,17439,15465,11051,5612,3231,2146,1282,688,381,203,111,53,17,29,17,28,28,11,10,12
undefined,33.6423054409641,55575,35798,1215,57,15,12,17,15,26,17,23,20,18,18,9,4,4,3,10,13,29
undefined,7.68958214590597,45101,18498,13598,7013,3664,2287,1558,912,217,18,1,6,6,2,5,2,2,2,4,1,1
undefined,19.3582396380602,25998,27393,20122,10154,5300,2057,904,399,124,70,59,56,42,43,32,26,33,25,29,17,15
